Publisher,Total (EUR)
Elsevier,43.971227
Wiley,13.321876
Ebsco,10.29764
Springer,8.319385
ProQuest,5.709784
Thomson Reuters,4.042072
SAGE Publications,3.836765
American Chemical Society (ACS),3.655505
Nature Publishing Group,3.159795
Taylor & Francis,2.747357
Institute of Electrical and Electronics Engineers (IEEE),2.305962
LM Tietopalvelut,2.266371
Duodecim,1.816408
Talentum,1.360409
Wolters Kluwer Health,1.327242
Suomen Standardisoimisliitto SFS,1.229727
Emerald Group Publishing,1.147285
Ovid,1.000727
Kielikone,0.998432
Edita Publishing,0.86366
Chemical Abstracts Service (CAS),0.852379
Swets,0.682246
Viite & Hakuteos & kokotekstietokannat:  tilattu useilta kotimaiselta ja kansainväliseltä kustantajalta tai välittäjältä,0.63026
JSTOR,0.606973
Oxford University Press (OUP),0.560777
BTJ Kirjastopalvelu,0.519091
Association for Computer Machinery (ACM),0.462954
American Association for the Advancement of Science (AAAS),0.454174
Aalto-yliopisto,0.451119
Johns Hopkins University Press (JHU Press),0.432025
WSOY,0.398301
Kansalliskirjasto,0.347063
OECD,0.346442
Bureau van Dijk,0.333742
Kauppalehti,0.317857
Lippincott Williams & Wilkins (LWW),0.310481
Lippincott Williams & Wilkins (LWW),0.302584
American Mathematical Society (AMS),0.296232
Integrum,0.280884
Helsingin yliopisto,0.273227
FinELib,0.255209
Royal Society of Chemistry (RSC),0.246781
Sanoma,0.231589
Rakennustieto,0.213057
Wize Nordic,0.208915
Informa,0.201181
Tilastokeskus,0.1832
Helsingin Sanomat,0.174478
Knovel,0.170733
Euromonitor International,0.16626
American Physical Society (APS),0.164674
Masterworkshop Ltd,0.150153
Annual Reviews,0.147277
BMJ Group,0.140276
Thieme,0.135181
Encyclopedia Britannica,0.121058
American Institute of Physics (AIP),0.119858
Bonnier,0.118008
HighWire,0.117409
Project Muse,0.113943
Nationalencyklopedin,0.100969
Institute of Physics (IOP),0.089844
Gartner,0.089758
OECD /Wize Nordic AB,0.087007
Cengage Learning,0.086282
PressReader,0.085482
World Global Style Network (WGSN),0.080715
LexisNexis,0.080187
The Optical Society (OSA),0.078485
SPIE,0.07741
American Society of Civil Engineers (ASCE),0.077299
Optics Infobase Package - Optical Society of America,0.06999
Wolters Kluwer,0.068675
Datamonitor,0.065201
Artstor,0.062454
CSC - Tieteen tietotekniikan keskus,0.058833
McGraw-Hill Education,0.058127
American Medical Association (AMA),0.054717
Suomalaisen Kirjallisuuden Seura (SKS),0.05338
Mary Ann Liebert Inc,0.050991
Ellibs,0.047616
Burgundy,0.045998
Alexander Street Press,0.045976
IFSR,0.043551
PrioInfo,0.04171
Sanoma Pro Oy,0.041248
East View,0.037377
SCOAP3,0.036854
Brepols,0.036606
Esmerk / M-Brain Insight,0.036521
The Financial Times Limited,0.035518
Progressive Digital Media Ltd.,0.035241
Fonecta,0.03442
Beck,0.034155
Gale,0.033739
Maney Publishing,0.03251
Helsingin seudun kauppakamari,0.031531
American Society Of Mechanical Engineers (ASME),0.029567
American Association for Cancer Research (AACR) /Ebsco,0.029071
VTT,0.027852
Elib,0.027549
Riksarkivet,0.025853
PSK Standardisointiyhdistys,0.025745
WSOY /Talentum,0.025321
William S. Hein & Co. Inc.,0.024774
FAR Akademi,0.023762
Sahköinfo Oy,0.023706
Warc,0.023644
OECD /Turpin,0.02231
ASM International,0.02028
Palgrave Macmillan,0.019164
R.R. Bowker,0.019039
Naxos Digital Services,0.019024
Retriever,0.018732
Centre for Economic Policy Research (CEPR),0.018628
Know China Technology,0.017388
Tutkimus- ja Analysointikeskus TAK,0.017185
UN Publ.,0.017054
American Society Microbiology (ASM),0.01701
ProQuest /LM Tietopalvelut,0.0165
Bloomsbury Publishing,0.016442
Innventia,0.0161
RIPM Publications,0.015773
Encyclopedia Britannica /Wize Nordic AB,0.015623
National Bureau of Economic Research (NBER),0.015542
BioOne,0.01464
Kompass,0.01423
ETLA,0.013959
Material ConneXion,0.013854
FinPro,0.013383
Pharmaceutical Press,0.013065
American Council of Learned Societies (ACLS),0.012608
IOP Publishing,0.01185
Centre for Agriculture and Biosciences International (CABI),0.011642
Lehtimarket,0.011433
Online Computer Library Center (OCLC),0.011372
Sanoma Media Finland Oy,0.011221
Brill,0.01101
Metsätalouden kehittämiskeskus Tapio,0.010835
Cambridge University Press,0.010607
Dawsonera,0.01046
