Publisher,2010 (MEUR),2011 (MEUR),2012 (MEUR),2013 (MEUR),2014 (MEUR),2015 (MEUR),Total (MEUR),Percent (%)
Elsevier,6.261373,6.688695,7.217673,7.482688,7.925098,8.3957,43.971227,34.1
Wiley,1.607476,2.005667,2.238675,2.373905,2.512333,2.58382,13.321876,10.3
Ebsco,0.804043,1.752147,1.960932,2.088734,1.996871,1.694913,10.29764,8
Springer,1.268405,1.331931,1.378913,1.418853,1.447252,1.474031,8.319385,6.5
ProQuest,0.738563,0.817934,0.956245,0.966068,0.99864,1.232334,5.709784,4.4
Thomson Reuters,0.47515,0.524598,0.651545,0.711681,0.759722,0.919376,4.042072,3.1
SAGE Publications,0.487215,0.54118,0.63635,0.644177,0.693163,0.83468,3.836765,3
American Chemical Society (ACS),0.510368,0.530295,0.589546,0.615601,0.629188,0.780507,3.655505,2.8
Nature Publishing Group,0.352123,0.391354,0.555152,0.607475,0.640064,0.613627,3.159795,2.5
Taylor & Francis,0.055657,0.061483,0.099287,0.096196,1.134591,1.300143,2.747357,2.1
Institute of Electrical and Electronics Engineers (IEEE),0.29206,0.306326,0.392571,0.395531,0.394745,0.524729,2.305962,1.8
LM Tietopalvelut,0.114103,0.146016,0.249532,0.249009,0.283114,1.224597,2.266371,1.8
Duodecim,0.144892,0.195617,0.257365,0.315141,0.42707,0.476323,1.816408,1.4
Talentum,0.138034,0.156563,0.169425,0.187772,0.246815,0.4618,1.360409,1.1
Suomen Standardisoimisliitto SFS,0.164104,0.171872,0.203903,0.21583,0.232315,0.241703,1.229727,1
Wolters Kluwer Health,0.223953,0.193773,0.215716,0.206565,0.237139,0.250096,1.327242,1
Emerald Group Publishing,0.145074,0.163286,0.199179,0.203031,0.210373,0.226342,1.147285,0.9
Kielikone,0.195415,0.14946,0.155272,0.155415,0.179027,0.163843,0.998432,0.8
Ovid,0.104492,0.203273,0.187417,0.161027,0.168059,0.176459,1.000727,0.8
Chemical Abstracts Service (CAS),0.128047,0.126684,0.138783,0.139746,0.143322,0.175797,0.852379,0.7
Edita Publishing,0.130018,0.132531,0.141357,0.150639,0.156471,0.152644,0.86366,0.7
JSTOR,0.095325,0.087527,0.098091,0.099959,0.094839,0.131232,0.606973,0.5
Swets,0.682246,0,0,0,0,0,0.682246,0.5
Viite & Hakuteos & kokotekstietokannat:  tilattu useilta kotimaiselta ja kansainväliseltä kustantajalta tai välittäjältä,0.152463,0.044799,0.091303,0.100796,0.088003,0.152896,0.63026,0.5
Aalto-yliopisto,0.106641,0.105116,0.058454,0.064492,0.05808,0.058336,0.451119,0.4
American Association for the Advancement of Science (AAAS),0.061711,0.06702,0.08034,0.08259,0.08657,0.075943,0.454174,0.4
Association for Computer Machinery (ACM),0.080007,0.069586,0.083044,0.072954,0.07461,0.082753,0.462954,0.4
BTJ Kirjastopalvelu,0.080371,0.083776,0.111899,0.083795,0.07761,0.08164,0.519091,0.4
Oxford University Press (OUP),0.076098,0.080021,0.091318,0.085442,0.107678,0.12022,0.560777,0.4
Bureau van Dijk,0.040544,0.049448,0.06355,0.055,0.0667,0.0585,0.333742,0.3
Johns Hopkins University Press (JHU Press),0.056769,0.05986,0.075229,0.076612,0.080002,0.083553,0.432025,0.3
Kansalliskirjasto,0.051517,0.053162,0.059603,0.058314,0.062405,0.062062,0.347063,0.3
OECD,0.046841,0.053864,0.065143,0.06067,0.062014,0.05791,0.346442,0.3
WSOY,0.132812,0.125181,0.140308,0,0,0,0.398301,0.3
American Mathematical Society (AMS),0.027244,0.048703,0.052077,0.053087,0.051794,0.063327,0.296232,0.2
FinELib,0.042052,0.036855,0.040718,0.039763,0.038109,0.057712,0.255209,0.2
Helsingin yliopisto,0.045318,0.04373,0.039047,0.044947,0.049071,0.051114,0.273227,0.2
Informa,0.0155,0.015509,0.034529,0.043663,0.04249,0.04949,0.201181,0.2
Integrum,0.0498,0.0498,0.044564,0.046346,0.043529,0.046845,0.280884,0.2
Kauppalehti,0.031643,0.036795,0.048028,0.06017,0.06999,0.071231,0.317857,0.2
Lippincott Williams & Wilkins (LWW),0.049163,0.050534,0.052164,0.051194,0.053626,0.0538,0.310481,0.2
Lippincott Williams & Wilkins (LWW),0.039845,0.043741,0.045152,0.053105,0.055652,0.065089,0.302584,0.2
Rakennustieto,0.018661,0.016429,0.031815,0.040727,0.048926,0.056499,0.213057,0.2
Royal Society of Chemistry (RSC),0.024517,0.028808,0.033252,0.04391,0.050231,0.066063,0.246781,0.2
Sanoma,0,0,0,0.118521,0.113068,0,0.231589,0.2
Wize Nordic,0.032974,0.029648,0.030546,0.035613,0.039262,0.040872,0.208915,0.2
American Institute of Physics (AIP),0,0.027318,0.02844,0.022296,0.022087,0.019717,0.119858,0.1
American Physical Society (APS),0.010616,0.023035,0.023441,0.024194,0.035167,0.048221,0.164674,0.1
American Society of Civil Engineers (ASCE),0.010657,0.011369,0.012818,0.014266,0.015585,0.012604,0.077299,0.1
Annual Reviews,0.019944,0.02158,0.023746,0.025127,0.025569,0.031311,0.147277,0.1
BMJ Group,0.013472,0.023731,0.023279,0.024007,0.026103,0.029684,0.140276,0.1
Bonnier,0,0.00458,0.012287,0.0208,0.035216,0.045125,0.118008,0.1
Cengage Learning,0.012547,0.012616,0.01415,0.014745,0.015735,0.016489,0.086282,0.1
Datamonitor,0.005022,0.009192,0.006805,0.014212,0.014271,0.015699,0.065201,0.1
Encyclopedia Britannica,0.019638,0.019114,0.019736,0.018653,0.019934,0.023983,0.121058,0.1
Euromonitor International,0.022,0.025,0.026,0.026,0.03345,0.03381,0.16626,0.1
Gartner,0.029758,0.03,0.03,0,0,0,0.089758,0.1
Helsingin Sanomat,0.026987,0.026072,0.027985,0.029989,0.031531,0.031914,0.174478,0.1
HighWire,0.016345,0.016676,0.018746,0.020029,0.020944,0.024669,0.117409,0.1
Institute of Physics (IOP),0.019312,0.015132,0.015799,0.013108,0.013305,0.013188,0.089844,0.1
Knovel,0.026729,0.029494,0.033173,0.025743,0.024893,0.030701,0.170733,0.1
LexisNexis,0,0.0132,0.01386,0.014533,0.015281,0.023313,0.080187,0.1
Masterworkshop Ltd,0,0.02954,0.02954,0.02984,0.02984,0.031393,0.150153,0.1
Nationalencyklopedin,0.012986,0.01583,0.016116,0.016689,0.020732,0.018616,0.100969,0.1
OECD /Wize Nordic AB,0.014399,0.01479,0.01516,0.015656,0.015922,0.01108,0.087007,0.1
